"종목명","현재가","전일비","등락률","액면가","시가총액","상장주식수","외국인비율","거래량","PER","ROE","종목코드"
"퍼스텍",2290,90,0.0409,500,1101,48061,0.0379,1268743,-27.93,-31.41,"010820"
"삼호개발",4400,145,0.0341,500,1100,25000,0.0668,283681,6.41,11.65,"010960"
"TIGER 원유선물Enhanced(H)",2400,10,0.0042,0,1099,45800,0.0041,777466,NA,NA,"130680"
"한국프랜지",3600,50,0.0141,1000,1096,30450,0.0223,1057718,14.63,5.35,"010100"
"삼원강재",2735,40,-0.0144,500,1094,40000,0.0068,92050,14.47,5.03,"023000"
"STX중공업",3850,60,-0.0153,2500,1092,28366,9e-04,83986,-3.81,-22.78,"071970"
"고려산업",4370,100,0.0234,1000,1090,24939,0.0078,687308,13.28,4.75,"002140"
"신흥",11350,750,0.0708,500,1090,9600,0.0048,215996,13.18,2.33,"004080"
"포스코강판",18100,150,-0.0082,5000,1086,6000,0.0171,50279,24.07,1.23,"058430"
"인천도시가스",24800,100,-0.004,5000,1085,4375,0.013,2728,10.45,5.87,"034590"
"KBSTAR 대형고배당10TR",16700,390,-0.0228,0,1077,6450,0,14308,NA,NA,"315960"
"엔케이",1345,45,-0.0324,500,1076,79983,0.0226,15259084,-5.63,-25.29,"085310"
"KINDEX 미국S&P500",10605,100,-0.0093,0,1071,10100,0.0211,262737,NA,NA,"360200"
"센트럴인사이트",10000,150,-0.0148,500,1070,10696,0.6248,350395,-7.11,-124.59,"012600"
"KODEX 미국S&P500선물(H)",18080,190,-0.0104,0,1058,5850,1e-04,133513,NA,NA,"219480"
"SH에너지화학",950,39,-0.0394,500,1056,111134,0.3569,9222787,-12.18,-2.84,"002360"
"대창단조",7380,80,0.011,1000,1054,14286,0.068,78399,7.85,8.12,"015230"
"KTcs",2470,65,0.027,500,1054,42685,0.073,9486481,11.13,4.72,"058850"
"조흥",175500,1500,-0.0085,5000,1053,600,0,111,11.68,6.15,"002600"
"조비",20200,100,0.005,5000,1049,5192,0.0023,101268,32.74,-0.27,"001550"
"KTis",3010,190,0.0674,500,1048,34802,0.0477,6882925,10.42,5.6,"058860"
"TRUE 레버리지 나스닥 100 ETN",20835,275,-0.013,0,1042,5000,0,13540,NA,NA,"570043"
"세하",1795,45,-0.0245,1000,1033,57563,0.0045,865055,4.18,34.66,"027970"
"KINDEX 미국나스닥100",10870,85,-0.0078,0,1033,9500,0,162290,NA,NA,"367380"
"신풍제지",2950,40,-0.0134,500,1031,34959,0.0031,682518,27.83,32.25,"002870"
"모나미",5450,100,-0.018,1000,1030,18897,0.0118,532101,-36.82,-2.39,"005360"
"KODEX MSCI Korea",20540,420,-0.02,0,1027,5000,0,769,NA,NA,"156080"
"콤텍시스템",1505,5,-0.0033,500,1021,67851,0.0037,1392588,-28.4,1.22,"031820"
"녹십자홀딩스2우",120500,4500,0.0388,500,1019,846,0.0019,8682,113.89,NA,"005257"
"한창",1525,10,-0.0065,500,1019,66790,0.0076,2517075,-5.69,-15,"005110"
"두올",3760,155,-0.0396,2500,1018,27067,0.0189,688597,20.77,7.28,"016740"
"페이퍼코리아",2695,20,0.0075,500,1011,37503,0.0085,563350,-7.17,-136.14,"001020"
"사조씨푸드",5830,40,-0.0068,1000,1004,17219,0.0212,179385,-21.67,-2.66,"014710"
"현대코퍼레이션홀딩스",11000,150,-0.0135,5000,1001,9101,0.0265,38819,6.94,5.93,"227840"
"이지스레지던스리츠",4845,5,0.001,1000,998,20600,6e-04,21773,NA,NA,"350520"
"우성사료",3230,35,-0.0107,500,998,30900,0.0364,510144,5.83,7.17,"006980"
"유니켐",1445,30,-0.0203,500,993,68710,0.0195,661243,8.98,21.11,"011330"
"KBSTAR ESG사회책임투자",13815,235,-0.0167,0,988,7150,0,1548112,NA,NA,"290130"
"태평양물산",2050,15,0.0074,500,987,48150,0.0255,2071150,-5.71,6.99,"007980"
"대원전선",1380,30,-0.0213,500,980,71017,0.0203,1354791,-345,-1.01,"006340"
"대유에이텍",914,5,-0.0054,500,977,106916,0.0248,541124,6.58,9.75,"002880"
"제이에스코퍼레이션",7280,50,-0.0068,100,971,13336,0.0063,18860,16.7,5.26,"194370"
"KR모터스",1055,15,-0.014,500,967,91661,0.4583,558644,-2.34,-113.29,"000040"
"세아특수강",11250,250,-0.0217,5000,964,8570,0.0226,12161,-26.04,3.47,"019440"
"천일고속",67400,600,-0.0088,5000,963,1429,0.0025,1706,-24.73,1.28,"000650"
"지투알",5810,10,0.0017,1000,963,16567,0.3338,80547,4.87,11.17,"035000"
"광명전기",2215,5,0.0023,500,960,43338,0.038,2439363,11.78,8.53,"017040"
"대림B&Co",5720,60,-0.0104,1000,954,16672,0.0235,22966,-19.66,1.37,"005750"
"우진",4715,225,0.0501,500,953,20202,0.0123,1200961,117.88,-10.49,"105840"
